,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09,780.0,789.43,779.02,789.29,789.29,1821900,0,0,770.0,770.25,765.34,768.66,768.66,2470900,0,0,38.17,38.77,38.16,38.44,38.44,13612500,0,0.0,28.08,28.67,28.08,28.49,26.81,137610400,0.0,0.0
2016-12-12,785.04,791.25,784.35,789.27,789.27,2104100,0,0,766.4,766.89,757.2,760.12,760.12,2963900,0,0,38.56,38.88,38.24,38.49,38.49,12194500,0,0.0,28.32,28.75,28.12,28.33,26.66,105497600,0.0,0.0
2016-12-13,793.9,804.38,793.34,796.1,796.1,2145200,0,0,764.96,782.46,762.0,774.34,774.34,5285300,0,0,38.64,40.26,38.6,39.63,39.63,34119500,0,0.0,28.46,28.98,28.44,28.8,27.11,174935200,0.0,0.0
2016-12-14,797.4,804.0,794.01,797.07,797.07,1704200,0,0,778.25,780.86,762.81,768.82,768.82,5454800,0,0,39.75,40.6,39.35,39.74,39.74,20754500,0,0.0,28.76,29.05,28.75,28.8,27.11,136127200,0.0,0.0
2016-12-15,797.34,803.0,792.92,797.85,797.85,1626500,0,0,766.28,769.1,760.31,761.0,761.0,3801900,0,0,39.68,40.15,39.48,39.52,39.52,16098000,0,0.0,28.84,29.18,28.81,28.95,27.25,186098000,0.0,0.0
2016-12-16,800.4,800.86,790.29,790.8,790.8,2443800,0,0,765.0,765.13,754.0,757.77,757.77,4848200,0,0,39.62,40.52,39.52,40.5,40.5,18984500,0,0.0,29.12,29.12,28.91,28.99,27.29,177404400,0.0,0.0
2016-12-19,790.22,797.66,786.27,794.2,794.2,1232100,0,0,758.89,770.5,756.16,766.0,766.0,3113200,0,0,40.5,40.89,39.97,40.55,40.55,17440500,0,0.0,28.95,29.34,28.94,29.16,27.45,111117600,0.0,0.0
2016-12-20,796.76,798.65,793.27,796.42,796.42,951000,0,0,768.65,774.39,767.71,771.22,771.22,2703600,0,0,40.61,41.8,40.5,41.76,41.76,23445500,0,0.0,29.18,29.38,29.17,29.24,27.52,85700000,0.0,0.0
2016-12-21,795.84,796.68,787.1,794.56,794.56,1211300,0,0,770.0,771.22,765.7,770.6,770.6,2044600,0,0,41.69,42.45,41.48,41.54,41.54,26038000,0,0.0,29.2,29.35,29.19,29.26,27.55,95132800,0.0,0.0
2016-12-22,792.36,793.32,788.58,791.26,791.26,972200,0,0,768.12,771.21,763.02,766.34,766.34,2543600,0,0,41.64,42.0,41.3,41.69,41.69,15555500,0,0.0,29.09,29.13,28.91,29.07,27.37,104343600,0.0,0.0
2016-12-23,790.9,792.74,787.28,789.91,789.91,623400,0,0,764.55,766.5,757.99,760.59,760.59,1981600,0,0,41.6,42.69,41.54,42.67,42.67,23352500,0,0.0,28.9,29.13,28.9,29.13,27.42,56998000,0.0,0.0
2016-12-27,790.68,797.86,787.66,791.55,791.55,789100,0,0,763.4,774.65,761.2,771.4,771.4,2638700,0,0,42.98,44.45,42.88,43.91,43.91,29578500,0,0.0,29.13,29.45,29.12,29.32,27.59,73187600,0.0,0.0
2016-12-28,793.7,794.23,783.2,785.05,785.05,1153800,0,0,776.25,780.0,770.5,772.13,772.13,3301000,0,0,44.31,44.76,43.44,43.95,43.95,18912500,0,0.0,29.38,29.5,29.05,29.19,27.48,83623600,0.0,0.0
2016-12-29,783.33,785.93,778.92,782.79,782.79,744300,0,0,772.4,773.4,760.85,765.15,765.15,3158300,0,0,43.71,43.84,42.82,42.94,42.94,20225000,0,0.0,29.11,29.28,29.1,29.18,27.47,60158000,0.0,0.0
2016-12-30,782.75,782.78,770.41,771.82,771.82,1770000,0,0,766.47,767.4,748.28,749.87,749.87,4139400,0,0,43.26,43.5,42.34,42.74,42.74,23213000,0,0.0,29.16,29.3,28.86,28.95,27.25,122345200,0.0,0.0
2017-01-03,778.81,789.63,775.8,786.14,786.14,1657300,0,0,757.92,758.76,747.7,753.67,753.67,3521100,0,0,42.97,44.07,42.19,43.4,43.4,29616500,0,0.0,28.95,29.08,28.69,29.04,27.33,115127600,0.0,0.0
2017-01-04,788.36,791.34,783.16,786.9,786.9,1073000,0,0,758.39,759.68,754.2,757.18,757.18,2510500,0,0,42.95,45.6,42.86,45.4,45.4,56067500,0,0.0,28.96,29.13,28.94,29.0,27.3,84472400,0.0,0.0
2017-01-05,786.08,794.48,785.02,794.02,794.02,1335200,0,0,761.55,782.4,760.26,780.45,780.45,5830100,0,0,45.28,45.5,44.39,45.35,45.35,29558500,0,0.0,28.98,29.22,28.95,29.15,27.44,88774400,0.0,0.0
2017-01-06,795.26,807.9,792.2,806.15,806.15,1640200,0,0,782.36,799.44,778.48,795.99,795.99,5986200,0,0,45.39,46.06,45.09,45.8,45.8,27639500,0,0.0,29.19,29.54,29.12,29.48,27.75,127007600,0.0,0.0
2017-01-09,806.4,809.97,802.83,806.65,806.65,1274600,0,0,798.0,801.77,791.77,796.92,796.92,3446100,0,0,45.79,46.38,45.6,46.26,46.26,19897500,0,0.0,29.49,29.86,29.49,29.75,28.0,134247600,0.0,0.0
2017-01-10,807.86,809.13,803.51,804.79,804.79,1176800,0,0,796.6,798.0,789.54,795.9,795.9,2558400,0,0,46.4,46.4,45.38,45.97,45.97,18300000,0,0.0,29.69,29.84,29.58,29.78,28.03,97848400,0.0,0.0
2017-01-11,805.0,808.15,801.37,807.91,807.91,1065900,0,0,793.66,799.5,789.51,799.02,799.02,2992800,0,0,45.81,46.0,45.34,45.95,45.95,18254000,0,0.0,29.68,29.98,29.65,29.94,28.18,110354400,0.0,0.0
2017-01-12,807.14,807.39,799.17,806.36,806.36,1353100,0,0,800.31,814.13,799.5,813.64,813.64,4873900,0,0,45.81,46.14,45.12,45.92,45.92,18951000,0,0.0,29.73,29.83,29.55,29.81,28.06,108344800,0.0,0.0
2017-01-13,807.48,811.22,806.69,807.88,807.88,1099200,0,0,814.32,821.65,811.4,817.14,817.14,3791900,0,0,46.0,47.57,45.92,47.55,47.55,30465000,0,0.0,29.78,29.91,29.7,29.76,28.01,104447600,0.0,0.0
2017-01-17,807.08,807.14,800.37,804.61,804.61,1362100,0,0,815.7,816.0,803.44,809.72,809.72,3670500,0,0,47.34,47.99,46.87,47.12,47.12,23087500,0,0.0,29.58,30.06,29.56,30.0,28.24,137759200,0.0,0.0
2017-01-18,805.81,806.21,800.99,806.07,806.07,1294400,0,0,809.5,811.73,804.27,807.48,807.48,2354200,0,0,47.33,47.94,47.12,47.67,47.67,18845000,0,0.0,30.0,30.12,29.93,30.0,28.24,94852000,0.0,0.0
2017-01-19,805.12,809.48,801.8,802.17,802.17,919300,0,0,810.0,813.51,807.32,809.04,809.04,2540800,0,0,49.45,49.74,48.15,48.75,48.75,38661500,0,0.0,29.85,30.02,29.84,29.94,28.19,102389200,0.0,0.0
2017-01-20,806.91,806.91,801.69,805.02,805.02,1670000,0,0,815.28,816.02,806.26,808.33,808.33,3376200,0,0,49.09,49.2,48.6,48.95,48.95,21021500,0,0.0,30.11,30.11,29.93,30.0,28.24,130391600,0.0,0.0
2017-01-23,807.25,820.87,803.74,819.31,819.31,1963600,0,0,806.8,818.5,805.08,817.88,817.88,2797500,0,0,49.17,50.18,49.1,49.78,49.78,31314500,0,0.0,30.0,30.2,29.94,30.02,28.26,88200800,0.0,0.0
2017-01-24,822.3,825.9,817.82,823.87,823.87,1474000,0,0,822.0,823.99,814.5,822.44,822.44,2971700,0,0,50.0,50.96,49.93,50.92,50.92,24827500,0,0.0,29.89,30.02,29.88,29.99,28.23,92844000,0.0,0.0
2017-01-25,829.62,835.77,825.06,835.67,835.67,1494500,0,0,825.79,837.42,825.29,836.52,836.52,3922600,0,0,51.46,51.69,50.36,50.89,50.89,25713000,0,0.0,30.1,30.52,30.07,30.47,28.68,129510400,0.0,0.0
2017-01-26,837.81,838.0,827.01,832.15,832.15,2973900,0,0,835.53,843.84,833.0,839.15,839.15,3586300,0,0,50.86,51.15,50.15,50.5,50.5,15760500,0,0.0,30.42,30.61,30.4,30.49,28.69,105350400,0.0,0.0
2017-01-27,834.71,841.95,820.44,823.31,823.31,2965800,0,0,839.0,839.7,829.44,835.77,835.77,2998700,0,0,50.28,50.6,49.7,50.59,50.59,15831500,0,0.0,30.53,30.59,30.4,30.49,28.7,82251600,0.0,0.0
2017-01-30,814.66,815.84,799.8,802.32,802.32,3246600,0,0,833.0,833.5,816.38,830.38,830.38,3747300,0,0,50.51,51.06,49.42,50.13,50.13,19005500,0,0.0,30.23,30.41,30.17,30.41,28.62,121510000,0.0,0.0
